fast,slow,atr_multiplier,trailing_pct,adx_limit,Total Return,Max Drawdown,Sharpe
12,26,2.0,0.05,15,0.3204704049592657,-0.21169016392195472,2.2878174099868023
12,26,2.0,0.05,20,-0.0038515866912256502,-0.22224640772883575,-0.05807675639288518
12,26,2.0,0.05,25,0.016858100032876244,-0.017064716398424107,1.606305280613534
12,26,2.0,0.1,15,0.10750062176334518,-0.2526779696761312,0.820979569571018
12,26,2.0,0.1,20,-0.0748766320559483,-0.2631997352686184,-1.1329531628006342
12,26,2.0,0.1,25,0.016858100032876244,-0.017064716398424107,1.606305280613534
12,26,2.0,0.15,15,0.10750062176334518,-0.2526779696761312,0.820979569571018
12,26,2.0,0.15,20,-0.0748766320559483,-0.2631997352686184,-1.1329531628006342
12,26,2.0,0.15,25,0.016858100032876244,-0.017064716398424107,1.606305280613534
12,26,3.0,0.05,15,0.2709214774924098,-0.2576111652742902,1.750463340554206
12,26,3.0,0.05,20,0.12147568141285148,-0.17391226229896029,1.523074846377749
12,26,3.0,0.05,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
12,26,3.0,0.1,15,-0.049847769487996185,-0.3375943186355854,-0.34506067655225614
12,26,3.0,0.1,20,0.0008170464552488266,-0.23212096533187765,0.010112903247995162
12,26,3.0,0.1,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
12,26,3.0,0.15,15,-0.049847769487996185,-0.3375943186355854,-0.34506067655225614
12,26,3.0,0.15,20,0.0008170464552488266,-0.23212096533187765,0.010112903247995162
12,26,3.0,0.15,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
12,26,4.0,0.05,15,0.37417418461948126,-0.23476349445671152,2.425336405846485
12,26,4.0,0.05,20,0.12147568141285148,-0.17391226229896029,1.523074846377749
12,26,4.0,0.05,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
12,26,4.0,0.1,15,0.0124569297817414,-0.3025834598311633,0.08755739524745362
12,26,4.0,0.1,20,0.016799748902487144,-0.21985820245224674,0.20964538486702153
12,26,4.0,0.1,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
12,26,4.0,0.15,15,0.04406312961586556,-0.3025834598311633,0.3041478669087854
12,26,4.0,0.15,20,0.0485415199445669,-0.19585268674497514,0.5914458436018349
12,26,4.0,0.15,25,0.10272943297435089,-0.02765696634600201,3.585572171914744
